Topic,WordOrder,Word,Prob
3,15,also,0.004648345522582531
3,16,sean,0.004600537475198507
3,17,police,0.004152366891503334
3,18,james,0.004082720261067152
3,19,tony,0.003986986353993416
3,20,actor,0.003899995004758239
4,1,horror,0.02315193973481655
4,2,hitchcock,0.009273065254092216
4,3,original,0.00883563607931137
4,4,house,0.00721324747428298
4,5,scary,0.006995862349867821
4,6,scene,0.006465212907642126
4,7,remake,0.005819207988679409
4,8,film,0.005369624588638544
4,9,thriller,0.005092016886919737
4,10,killer,0.0047308956272900105
4,11,exorcist,0.004568089265376329
4,12,psycho,0.004288882948458195
4,13,suspense,0.004063339438289404
4,14,ghost,0.0039685615338385105
4,15,good,0.003925042226910591
4,16,creepy,0.00392302218824625
4,17,also,0.0037361769936978817
4,18,murder,0.003640961367636919
4,19,time,0.003619604744017124
4,20,scare,0.003537593176588416
5,1,violence,0.021085212007164955
5,2,fight,0.018145851790905
5,3,club,0.01351909525692463
5,4,sex,0.01114621665328741
5,5,drug,0.007886866107583046
5,6,life,0.007222324144095182
5,7,people,0.0069078258238732815
5,8,pitt,0.0067906491458415985
5,9,like,0.005886407103389502
5,10,tyler,0.0054176971316337585
5,11,violent,0.005362378899008036
5,12,brad,0.005358114838600159
5,13,society,0.0052268304862082005
5,14,make,0.004846128169447184
5,15,norton,0.004820470232516527
5,16,get,0.004764292389154434
5,17,way,0.004589973017573357
5,18,scene,0.0044421120546758175
5,19,see,0.00414657685905695
5,20,men,0.00395611859858036
6,1,ring,0.019494784995913506
6,2,jackson,0.01785178668797016
6,3,lord,0.013024942018091679
6,4,trilogy,0.012844539247453213
6,5,battle,0.012782499194145203
6,6,hobbit,0.011057963594794273
6,7,peter,0.009500435553491116
6,8,two,0.00921507179737091
6,9,king,0.00858548004180193
6,10,scene,0.00816821213811636
6,11,tolkien,0.0072601004503667355
6,12,first,0.007157769054174423
6,13,character,0.007086616475135088
6,14,lotr,0.006838796194642782
6,15,tower,0.00588633818551898
6,16,story,0.005819533485919237
6,17,dwarf,0.005760588683187962
6,18,return,0.005727866664528847
6,19,book,0.0056525301188230515
6,20,epic,0.005608339328318834
7,1,story,0.012365310452878475
7,2,island,0.009764201939105988
7,3,horse,0.009272421710193157
7,4,dragon,0.00819152221083641
7,5,swedish,0.00701356865465641
7,6,girl,0.006487927865236998
7,7,chinese,0.006399210076779127
7,8,art,0.00635600695386529
7,9,love,0.0061196028254926205
7,10,martial,0.005365814547985792
7,11,lisbeth,0.005050214938819408
7,12,scene,0.004952700342983007
7,13,fight,0.004916111007332802
7,14,lee,0.004903876688331366
7,15,two,0.004707810468971729
7,16,noah,0.004500031005591154
7,17,tiger,0.00397957069799304
7,18,beautiful,0.003954434301704168
7,19,young,0.003945981618016958
7,20,year,0.0037257426884025335
8,1,role,0.008112464100122452
8,2,performance,0.006572553887963295
8,3,woman,0.0055801114067435265
8,4,best,0.005346984136849642
8,5,cast,0.00511357793584466
8,6,novel,0.004976383876055479
8,7,love,0.004929474554955959
8,8,play,0.004886129405349493
8,9,also,0.004203008487820625
8,10,version,0.00414792587980628
8,11,young,0.00411860179156065
8,12,actor,0.0038276095874607563
8,13,actress,0.0037663427647203207
8,14,year,0.0036276383325457573
8,15,played,0.003602178767323494
8,16,time,0.0035114355850964785
8,17,musical,0.0033605254720896482
8,18,oscar,0.0033582556061446667
8,19,story,0.0033365788403898478
8,20,well,0.0030306470580399036
9,1,great,0.023401984944939613
9,2,best,0.019865579903125763
9,3,time,0.01770474947988987
9,4,movie,0.013278236612677574
9,5,seen,0.013164706528186798
9,6,see,0.01239811535924673
9,7,ever,0.011552732437849045
9,8,watch,0.00963614508509636
9,9,story,0.00962693803012371
9,10,performance,0.009472276084125042
9,11,acting,0.009418943896889687
9,12,actor,0.00902399979531765
9,13,well,0.0086356857791543
9,14,love,0.008624293841421604
9,15,film,0.008043404668569565
9,16,year,0.007845824584364891
9,17,good,0.007128611207008362
9,18,made,0.007084852084517479
9,19,scene,0.0069158803671598434
9,20,amazing,0.006775474641472101
10,1,good,0.02304219827055931
