Topic,WordOrder,Word,Prob
18,16,chapter,0.006410868838429451
18,17,feel,0.00638552475720644
18,18,main,0.0061959195882081985
18,19,finish,0.0060234772972762585
18,20,thought,0.005651320330798626
19,1,woman,0.0046428800560534
19,2,social,0.0035725466441363096
19,3,character,0.003569058608263731
19,4,society,0.002959452336654067
19,5,life,0.0028928262181580067
19,6,man,0.0027455277740955353
19,7,men,0.002638716483488679
19,8,class,0.0023108292371034622
19,9,century,0.002197694033384323
19,10,power,0.0019676443189382553
19,11,poor,0.0019633162301033735
19,12,year,0.0018511709058657289
19,13,time,0.0018098062137141824
19,14,money,0.001771493349224329
19,15,wife,0.0017657780554145575
19,16,early,0.0017431273590773344
19,17,fact,0.0017246934585273266
19,18,people,0.001673023565672338
19,19,novel,0.001672385260462761
19,20,real,0.0016120080836117268
20,1,read,0.04268045350909233
20,2,year,0.03068448044359684
20,3,time,0.01899433135986328
20,4,ago,0.018360095098614693
20,5,school,0.017955362796783447
20,6,remember,0.012561462819576263
20,7,story,0.010264944285154343
20,8,high,0.009202735498547554
20,9,library,0.007035344373434782
20,10,life,0.006949777249246836
20,11,day,0.0069397431798279285
20,12,long,0.006841704249382019
20,13,good,0.006772398017346859
20,14,age,0.006746371276676655
20,15,copy,0.006609754171222448
20,16,loved,0.0064679887145757675
20,17,child,0.006430331617593765
20,18,young,0.0062901717610657215
20,19,re-read,0.005970227066427469
20,20,adult,0.005821393337100744
21,1,life,0.0043526748195290565
21,2,heart,0.0034856556449085474
21,3,eye,0.0033732177689671516
21,4,man,0.0030742951203137636
21,5,moment,0.0029163321014493704
21,6,face,0.0029062856920063496
21,7,death,0.00285073509439826
21,8,feel,0.0028294946532696486
21,9,time,0.002740664640441537
21,10,mind,0.002719692885875702
21,11,love,0.002711552893742919
21,12,soul,0.002679247409105301
21,13,hand,0.002503342926502228
21,14,long,0.002404357772320509
21,15,dark,0.00236160377971828
21,16,beautiful,0.002302151173353195
21,17,day,0.0022653788328170776
21,18,beauty,0.002165632788091898
21,19,feeling,0.0021451320499181747
21,20,light,0.002073262119665742
22,1,bond,0.020069293677806854
22,2,james,0.011003237217664719
22,3,fleming,0.009478817693889141
22,4,series,0.008954640477895737
22,5,villain,0.006120819598436356
22,6,movie,0.005682434421032667
22,7,ian,0.005615405272692442
22,8,novel,0.005531015805900097
22,9,spy,0.005449146032333374
22,10,action,0.005253980401903391
22,11,plot,0.005115850362926722
22,12,agent,0.004726273473352194
22,13,kill,0.0040243626572191715
22,14,secret,0.0040027424693107605
22,15,guy,0.0038195131346583366
22,16,time,0.0037089756224304438
22,17,plan,0.0036428975872695446
22,18,man,0.0036102209705859423
22,19,parker,0.0036073459777981043
22,20,thriller,0.003452194621786475
23,1,movie,0.06856493651866913
23,2,read,0.015047803521156311
23,3,version,0.014105156064033508
23,4,adaptation,0.012697184458374977
23,5,based,0.011153076775372028
23,6,story,0.009655806235969067
23,7,time,0.008729977533221245
23,8,original,0.007784117944538593
23,9,watch,0.007631913758814335
23,10,watched,0.0070630572736263275
23,11,ring,0.005853337235748768
23,12,watching,0.005694954190403223
23,13,good,0.005247898865491152
23,14,screen,0.004699984099715948
23,15,hollywood,0.004612419288605452
23,16,case,0.004602551925927401
23,17,great,0.004492846317589283
23,18,year,0.004421579651534557
23,19,character,0.00438914867118001
23,20,classic,0.004127107560634613
24,1,read,0.056940957903862
24,2,good,0.027582116425037384
24,3,story,0.026986513286828995
24,4,movie,0.026025600731372833
24,5,great,0.020283786579966545
24,6,character,0.018213020637631416
24,7,enjoyed,0.016678771004080772
24,8,plot,0.014448451809585094
24,9,fun,0.013759969733655453
24,10,written,0.011852861382067204
24,11,time,0.010655209422111511
24,12,twist,0.009829037822782993
24,13,thriller,0.009781919419765472
24,14,enjoyable,0.008204382844269276
24,15,interesting,0.00816757045686245
24,16,quick,0.007814361713826656
24,17,action,0.007078659720718861
24,18,suspense,0.006983249913901091
24,19,writing,0.006564572919160128
24,20,fast,0.00627233786508441
