book_id,genre
15677,Fiction
15677,Mystery
15677,Classics
15677,Crime
15677,Thriller
15677,Noir
15677,Mystery Thriller
25309336,Westerns
25309336,Fiction
25309336,Historical
25309336,Historical Fiction
25309336,Adventure
25309336,Military History
25309336,Civil War
1883224,Classics
1883224,Fiction
1883224,Young Adult
1883224,Childrens
3228325,Mystery
3228325,Noir
3228325,Crime
3228325,United States
1949632,Science Fiction
1949632,Short Stories
1949632,Fiction
1949632,Classics
1949632,Fantasy
5194,Fiction
5194,Historical
5194,Historical Fiction
5194,European Literature
5194,German Literature
5194,World War II
5194,Holocaust
75745,Academic
75745,School
75745,Science Fiction
75745,European Literature
75745,German Literature
75745,Young Adult
75745,Dystopia
3038497,Cultural
3038497,Russia
3038497,Childrens
3038497,Fiction
3038497,Classics
3038497,Literature
3038497,Russian Literature
1111344,Fiction
1111344,Thriller
1111344,Mystery
121226,Westerns
121226,Historical
121226,Historical Fiction
121226,Literature
1201301,Horror
1201301,Fiction
1201301,Occult
1201301,Fantasy
1201301,Supernatural
1201301,Mystery
1296,Historical Fiction
1296,Fiction
1296,Fantasy
207035,Fiction
207035,Romance
207035,Fantasy
207035,Science Fiction
207035,Time Travel
3148286,Classics
3148286,Fiction
3148286,Cultural
3148286,Russia
3148286,Romance
28676,Fiction
28676,Horror
28676,Classics
28676,Thriller
28676,Mystery
28676,Crime
9784,Classics
9784,Fiction
9784,Literature
3763,Fiction
3763,Thriller
3763,Spy Thriller
3763,Espionage
3763,Mystery
3763,Adventure
41096625,Fiction
41096625,Classics
2932,Classics
2932,Fiction
2932,Adventure
2932,Literature
24178,Classics
24178,Childrens
24178,Fiction
95558,Science Fiction
95558,Fiction
95558,Classics
422728,Classics
422728,Fiction
422728,European Literature
422728,Finnish Literature
422728,War
422728,Historical
422728,Historical Fiction
180936,Fiction
180936,Classics
180936,Novels
180936,Literature
180936,American
180936,Literary Fiction
6255949,Science Fiction
6255949,Fiction
6255949,Time Travel
6255949,War
6255949,Sequential Art
6255949,Manga
33549,Science Fiction
33549,Horror
33549,Fiction
33549,Fantasy
33549,Classics
7126,Classics
7126,Fiction
7126,Historical
7126,Historical Fiction
7126,Adventure
7126,Literature
7126,Cultural
7126,France
7126,Classic Literature
7126,Novels
7126,Romance
1872345,Science Fiction
1872345,Time Travel
1872345,Fiction
1872345,Science Fiction Fantasy
1872345,Speculative Fiction
1872345,Apocalyptic
1872345,Post Apocalyptic
1872345,Dystopia
1872345,Adventure
1872345,Suspense
288962,Fiction
288962,Mystery
288962,Crime
288962,Thriller
1241322,Fiction
1241322,Thriller
1241322,Horror
1241322,Adventure
1241322,Mystery
27523,Fiction
27523,Christian
27523,Christian Fiction
27523,Religion
27523,Fantasy
603834,Fiction
603834,Novels
333766,Fiction
333766,Young Adult
333766,Adventure
333766,Historical
333766,Historical Fiction
333766,Childrens
333766,Academic
333766,School
333766,Classics
333766,Realistic Fiction
333766,Read For School
333766,Middle Grade
92508,Fiction
92508,Classics
92508,Historical
92508,Historical Fiction
92508,Literature
1684752,Fiction
1684752,Classics
1684752,Thriller
1684752,Mystery
1684752,Crime
1684752,Literature
1684752,American
304,Classics
304,Fiction
304,Literature
304,19th Century
304,Historical
304,Victorian
257845,Fiction
257845,Westerns
257845,Historical
257845,Historical Fiction
257845,Classics
257845,Adventure
1054596,Westerns
1054596,Fiction
1054596,Historical
1054596,Historical Fiction
1131222,Fiction
1131222,Mystery
1131222,Crime
1131222,Thriller
1131222,European Literature
1131222,British Literature
428263,Young Adult
428263,Fantasy
428263,Romance
428263,Paranormal
428263,Vampires
428263,Fiction
9881733,Science Fiction
4420762,Romance
4420762,Fiction
1301173,Horror
1301173,Fiction
1301173,Thriller
1301173,Suspense
13330372,Fiction
13330372,Music
13330372,Jazz
13330372,Literature
13330372,20th Century
13330372,Classics
387348,Fiction
387348,Classics
387348,Historical
387348,Historical Fiction
387348,Novels
1058572,Fiction
1058572,Romance
1058572,Young Adult
1013325,Fantasy
1013325,Childrens
1013325,Literature
1013325,American
1013325,Classics
1129657,Westerns
1129657,Fiction
69628,Mystery
69628,Fiction
69628,Detective
69628,Crime
749473,Fiction
749473,Historical
749473,Historical Fiction
749473,Novels
749473,Literature
