,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id
92,The Agony and the Ecstasy,1961,Irving Stone,The Agony and the Ecstasy,1965,The Agony and the Ecstasy 1965,36815
93,Äideistä parhain,1999,0,Äideistä parhain,0,Äideistä parhain 0,0
94,Äideistä parhain,1999,0,Mother of Mine,2005,Mother of Mine 2005,32990
95,Äideistä parhain,1999,0,Den bästa av mödrar,0,Den bästa av mödrar 0,0
96,Aimez-vous Brahms?,1959,Françoise Sagan,Goodbye Again,1961,Goodbye Again 1961,84119
97,Aimez-vous Brahms?,1959,Françoise Sagan,Jahan Tum Le Chalo,1999,Jahan Tum Le Chalo 1999,0
98,Air America,1985,0,Air America,1990,Air America 1990,11856
99,Airborn,2004,Kenneth Oppel,Airborn,2012,Airborn 2012,0
100,Airport,1968,Arthur Hailey,Airport,1970,Airport 1970,10671
101,Airport,1968,Arthur Hailey,Airport 1975,1975,Airport 1975 1975,0
102,Airport,1968,Arthur Hailey,Airport '77,1977,Airport '77 1977,7227
103,Airport,1968,Arthur Hailey,The Concorde ... Airport '79,1979,The Concorde ... Airport '79 1979,0
104,Alice Adams,1921,Booth Tarkington,Alice Adams,1923,Alice Adams 1923,0
105,Alice Adams,1921,Booth Tarkington,Alice Adams,1935,Alice Adams 1935,43886
106,Allan Quatermain,1887,0,Allan Quatermain and the Lost City of Gold,1987,Allan Quatermain and the Lost City of Gold 1987,0
107,King Solomon's Mines,1885,H. Rider Haggard,Allan Quatermain and the Lost City of Gold,1987,Allan Quatermain and the Lost City of Gold 1987,0
108,All Fall Down,1960,James Leo Herlihy,All Fall Down,1962,All Fall Down 1962,86240
109,All the Brothers Were Valiant,1919,Ben Ames Williams,All the Brothers Were Valiant,1923,All the Brothers Were Valiant 1923,536671
110,All the Brothers Were Valiant,1919,Ben Ames Williams,Across to Singapore,1928,Across to Singapore 1928,142159
111,All the Brothers Were Valiant,1919,Ben Ames Williams,All the Brothers Were Valiant,1953,All the Brothers Were Valiant 1953,91419
112,All the King's Men,1946,Robert Penn Warren,All the King's Men,1949,All the King's Men 1949,25430
113,All the King's Men,1946,Robert Penn Warren,All the King's Men,2006,All the King's Men 2006,1717
114,All the Pretty Horses,1992,Cormac McCarthy,All the Pretty Horses,2000,All the Pretty Horses 2000,21355
115,All the Rivers Run,1958,Nancy Cato,All the Rivers Run,1983,All the Rivers Run 1983,0
116,All the Way,2001,0,Sex Drive,2008,Sex Drive 2008,13523
117,All You Need Is Kill,2009,0,Edge of Tomorrow,2014,Edge of Tomorrow 2014,137113
118,Almayer's Folly,1895,Joseph Conrad,Hanyut,2011,Hanyut 2011,0
119,Almayer's Folly,1895,Joseph Conrad,Almayer's Folly,2011,Almayer's Folly 2011,86815
120,Along Came a Spider,1993,James Patterson,Along Came a Spider,2001,Along Came a Spider 2001,2043
121,Altered States,1978,Paddy Chayefsky,Altered States,1980,Altered States 1980,11542
122,Always Another Dawn,1948,Zelma Roberts,Always Another Dawn,1948,Always Another Dawn 1948,0
123,"Always Outnumbered, Always Outgunned",1987,Walter Mosley,Always Outnumbered,1998,Always Outnumbered 1998,26622
124,El Amante Bilingüe,1990,Juan Marsé,El Amante Bilingüe,1993,El Amante Bilingüe 1993,0
125,El Amateur,1990,0,El Amateur,1999,El Amateur 1999,0
126,An American Dream,1965,Norman Mailer,An American Dream,1966,An American Dream 1966,131861
127,American Knees,1995,Shawn Wong,Americanese,2006,Americanese 2006,214939
128,American Psycho,1991,Bret Easton Ellis,American Psycho,2000,American Psycho 2000,1359
129,American Psycho,1991,Bret Easton Ellis,American Psycho 2: All-American Girl,2002,American Psycho 2: All-American Girl 2002,0
130,American Splendor,1976,Harvey Pekar,American Splendor,2003,American Splendor 2003,2771
131,An American Tragedy,1925,Theodore Dreiser,A Place in the Sun,1951,A Place in the Sun 1951,25673
132,The Americanization of Emily,1959,William Bradford Huie,The Americanization of Emily,1964,The Americanization of Emily 1964,42791
133,Amerika,1927,Franz Kafka,Klassenverhältnisse,0,Klassenverhältnisse 0,0
134,Amerika,1927,Franz Kafka,Class Relations,1984,Class Relations 1984,117479
135,Amerika,1927,Franz Kafka,Intervista,1987,Intervista 1987,47715
136,Amerika,1927,Franz Kafka,Amerika,1994,Amerika 1994,25901
137,Les amitiés particulières,1943,Roger Peyrefitte,Les amitiés particulières,1964,Les amitiés particulières 1964,0
138,The Amityville Horror,1977,Jay Anson,The Amityville Horror,1979,The Amityville Horror 1979,11449
139,The Amityville Horror,1977,Jay Anson,The Amityville Horror,2005,The Amityville Horror 2005,10065
140,El Amor infiel,1970,Mario David,El Amor infiel,1974,El Amor infiel 1974,0
141,Amos Judd,1895,John Ames Mitchell,The Young Rajah,1922,The Young Rajah 1922,184267
142,Amu,2005,Shonali Bose,Amu,2005,Amu 2005,25799
143,La Anam,1969,Ihsan Abdel Quddous,La Anam,1957,La Anam 1957,0
144,Anatomy of a Murder,1958,John D. Voelker,Anatomy of a Murder,1959,Anatomy of a Murder 1959,93
145,And Now Tomorrow,1942,Rachel Field,And Now Tomorrow,1944,And Now Tomorrow 1944,130411
146,And Then There Were None,1939,Agatha Christie,And Then There Were None,1945,And Then There Were None 1945,4886
147,And Then There Were None,1939,Agatha Christie,Ten Little Indians,1959,Ten Little Indians 1959,0
148,And Then There Were None,1939,Agatha Christie,Gumnaam,1965,Gumnaam 1965,82243
149,And Then There Were None,1939,Agatha Christie,Ten Little Indians,1965,Ten Little Indians 1965,4879
150,And Then There Were None,1939,Agatha Christie,Zehn kleine Negerlein,1969,Zehn kleine Negerlein 1969,297834
151,And Then There Were None,1939,Agatha Christie,And Then There Were None,1974,And Then There Were None 1974,0
152,And Then There Were None,1939,Agatha Christie,Desyat Negrityat,1987,Desyat Negrityat 1987,0
153,And Then There Were None,1939,Agatha Christie,Ten Little Indians,1989,Ten Little Indians 1989,103761
154,And Then There Were None,1939,Agatha Christie,Identity,2003,Identity 2003,2832
155,The Anderson Tapes,1969,Lawrence Sanders,The Anderson Tapes,1971,The Anderson Tapes 1971,30941
156,Andromeda: A Space-Age Tale,1957,Ivan Yefremov,The Andromeda Nebula,1967,The Andromeda Nebula 1967,0
