,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id
2094,Night and the City,1938,Gerald Kersh,Night and the City,1950,Night and the City 1950,19119
2095,Night and the City,1938,Gerald Kersh,Night and the City,1992,Night and the City 1992,36288
2096,Night Has a Thousand Eyes,1945,Cornell Woolrich,Night Has a Thousand Eyes,1948,Night Has a Thousand Eyes 1948,26387
2097,The Night of the Generals,1963,Hans Hellmut Kirst,The Night of the Generals,1967,The Night of the Generals 1967,42700
2098,The Night of the Hunter,1953,Davis Grubb,The Night of the Hunter,1955,The Night of the Hunter 1955,3112
2099,The Night of the Iguana,1967,0,The Night of the Iguana,1964,The Night of the Iguana 1964,14703
2100,Night Shift,1942,Maritta Wolff,The Man I Love,1947,The Man I Love 1947,26663
2101,Night Watch,1998,Sergey Lukyanenko,Night Watch,2004,Night Watch 2004,3040
2102,Night Watch,1998,Sergey Lukyanenko,Day Watch,2006,Day Watch 2006,2269
2103,Nightmare,0,Cornell Woolrich,Fear in the Night,1947,Fear in the Night 1947,35401
2104,Nightmare,0,Cornell Woolrich,Nightmare,1956,Nightmare 1956,0
2105,Nightmare Alley,1946,William Lindsay Gresham,Nightmare Alley,1947,Nightmare Alley 1947,19169
2106,Nights in Rodanthe,2002,Nicholas Sparks,Nights in Rodanthe,2008,Nights in Rodanthe 2008,14326
2107,Nightwing,1977,Martin Cruz Smith,Nightwing,1979,Nightwing 1979,65603
2108,Nine and a Half Weeks: A Memoir of a Love Affair,1978,Elizabeth McNeill,9½ Weeks,1986,9½ Weeks 1986,0
2109,Nine and a Half Weeks: A Memoir of a Love Affair,1978,Elizabeth McNeill,Another 9½ Weeks,1997,Another 9½ Weeks 1997,0
2110,Nine and a Half Weeks: A Memoir of a Love Affair,1978,Elizabeth McNeill,The First 9½ Weeks,1998,The First 9½ Weeks 1998,74023
2111,Nineteen Eighty-Four,1949,George Orwell,Nineteen Eighty-Four,1953,Nineteen Eighty-Four 1953,0
2112,Nineteen Eighty-Four,1949,George Orwell,Nineteen Eighty-Four,1954,Nineteen Eighty-Four 1954,78852
2113,Nineteen Eighty-Four,1949,George Orwell,1984,1956,1984 1956,1984
2114,Nineteen Eighty-Four,1949,George Orwell,Nineteen Eighty-Four,1984,Nineteen Eighty-Four 1984,9314
2115,The Ninth Configuration,1978,William Peter Blatty,The Ninth Configuration,1980,The Ninth Configuration 1980,18910
2116,No Country for Old Men,2005,Cormac McCarthy,No Country for Old Men,2007,No Country for Old Men 2007,6977
2117,No Down Payment,1957,0,No Down Payment,1957,No Down Payment 1957,110671
2118,No Orchids for Miss Blandish,1939,James Hadley Chase,No Orchids for Miss Blandish,1948,No Orchids for Miss Blandish 1948,35986
2119,No Orchids for Miss Blandish,1939,James Hadley Chase,The Grissom Gang,1971,The Grissom Gang 1971,79645
2120,No Orchids for Miss Blandish,1939,James Hadley Chase,La Chair de l'orchidée,1975,La Chair de l'orchidée 1975,0
2121,No se lo Digas a Nadie,1994,Jaime Bayly,No se lo Digas a Nadie,0,No se lo Digas a Nadie 0,0
2122,No se lo Digas a Nadie,1994,Jaime Bayly,Don't Tell Anyone,1998,Don't Tell Anyone 1998,53117
2123,Nobody Loves a Drunken Indian,1967,Clair Huffaker,The Last Warrior,1970,The Last Warrior 1970,0
2124,The North Star,1956,Henry Wilson Allen,Tashunga,0,Tashunga 0,0
2125,The North Star,1956,Henry Wilson Allen,The North Star,1996,The North Star 1996,0
2126,Northern Lights,1995,Philip Pullman,The Golden Compass,2007,The Golden Compass 2007,2268
2127,Northwest Passage,1937,Kenneth Roberts,Northwest Passage,1940,Northwest Passage 1940,43805
2128,Nostromo,1904,Joseph Conrad,Nostromo,1996,Nostromo 1996,0
2129,The Notebook,1996,Nicholas Sparks,The Notebook,2004,The Notebook 2004,11036
2130,Nothing Lasts Forever,1979,Roderick Thorp,Die Hard,1988,Die Hard 1988,562
2131,Nurse Matilda,1964,Christianna Brand,Nanny McPhee,2005,Nanny McPhee 2005,11283
2132,Nurse Matilda,1964,Christianna Brand,Nanny McPhee and the Big Bang,2010,Nanny McPhee and the Big Bang 2010,35019
2133,Odd Man Out,1945,F. L. Green,Odd Man Out,1947,Odd Man Out 1947,43461
2134,Odds Against Tomorrow,1958,William P. McGivern,Odds Against Tomorrow,1959,Odds Against Tomorrow 1959,0
2135,Odyssey,0,Homer,Ulysses,1955,Ulysses 1955,0
2136,Odyssey,0,Homer,The Odyssey,1987,The Odyssey 1987,219197
2137,Odyssey,0,Homer,Ulysses' Gaze,0,Ulysses' Gaze 0,0
2138,Odyssey,0,Homer,To Vlemma tou Odyssea,1995,To Vlemma tou Odyssea 1995,0
2139,Odyssey,0,Homer,The Odyssey,1997,The Odyssey 1997,545336
2140,Odyssey,0,Homer,"O Brother, Where Art Thou?",2000,"O Brother, Where Art Thou? 2000",134
2141,Odyssey,0,Homer,Odysseus and the Isle of the Mists,2007,Odysseus and the Isle of the Mists 2007,0
2142,Audition,1997,Ryu Murakami,Audition,1999,Audition 1999,0
2143,Of Human Bondage,1915,W. Somerset Maugham,Of Human Bondage,1934,Of Human Bondage 1934,43905
2144,Of Human Bondage,1915,W. Somerset Maugham,Of Human Bondage,1946,Of Human Bondage 1946,119343
2145,Of Human Bondage,1915,W. Somerset Maugham,Of Human Bondage,1964,Of Human Bondage 1964,120526
2146,Of Mice and Men,1937,John Steinbeck,Of Mice and Men,1939,Of Mice and Men 1939,51802
2147,Of Mice and Men,1937,John Steinbeck,Of Mice and Men,1981,Of Mice and Men 1981,326205
2148,Of Mice and Men,1937,John Steinbeck,Of Mice and Men,1992,Of Mice and Men 1992,9609
2149,Oil!,1927,Upton Sinclair,There Will Be Blood,2007,There Will Be Blood 2007,7345
2150,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,1911,The Old Curiosity Shop 1911,350128
2151,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,1912,The Old Curiosity Shop 1912,0
2152,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,1914,The Old Curiosity Shop 1914,0
2153,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,1921,The Old Curiosity Shop 1921,0
2154,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,1934,The Old Curiosity Shop 1934,281728
2155,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,1975,The Old Curiosity Shop 1975,0
2156,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,1979,The Old Curiosity Shop 1979,0
2157,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,1984,The Old Curiosity Shop 1984,274351
2158,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,1995,The Old Curiosity Shop 1995,46074
2159,The Old Curiosity Shop,1840,Charles Dickens,The Old Curiosity Shop,2007,The Old Curiosity Shop 2007,34873
2160,The Old Man and the Sea,1951,Ernest Hemingway,The Old Man and the Sea,1958,The Old Man and the Sea 1958,11331
2161,The Old Man and the Sea,1951,Ernest Hemingway,The Old Man and the Sea,1990,The Old Man and the Sea 1990,79775
2162,The Old Man and the Sea,1951,Ernest Hemingway,The Old Man and the Sea,1999,The Old Man and the Sea 1999,38577
2163,Old Yeller,1956,Fred Gipson,Old Yeller,1957,Old Yeller 1957,22660
2164,Old Yeller,1956,Fred Gipson,Savage Sam,1963,Savage Sam 1963,50033
2165,Oliver Twist,1837,Charles Dickens,Oliver Twist,1909,Oliver Twist 1909,259630
2166,Oliver Twist,1837,Charles Dickens,Oliver Twist,1922,Oliver Twist 1922,47720
2167,Oliver Twist,1837,Charles Dickens,Oliver Twist,1933,Oliver Twist 1933,43125
2168,Oliver Twist,1837,Charles Dickens,Oliver Twist,1948,Oliver Twist 1948,10949
2169,Oliver Twist,1837,Charles Dickens,Oliver!,1968,Oliver! 1968,17917
2170,Oliver Twist,1837,Charles Dickens,Oliver Twist,1982,Oliver Twist 1982,49483
2171,Oliver Twist,1837,Charles Dickens,Oliver Twist,1982,Oliver Twist 1982,535799
2172,Oliver Twist,1837,Charles Dickens,Oliver & Company,1988,Oliver & Company 1988,12233
2173,Oliver Twist,1837,Charles Dickens,Oliver Twist,1997,Oliver Twist 1997,49146
2174,Oliver Twist,1837,Charles Dickens,Twist,2003,Twist 2003,44375
2175,Oliver Twist,1837,Charles Dickens,Boy called Twist,2004,Boy called Twist 2004,0
2176,Oliver Twist,1837,Charles Dickens,Oliver Twist,2005,Oliver Twist 2005,257
2177,Oms en série,1957,Stefan Wul,Fantastic Planet,1973,Fantastic Planet 1973,16306
2178,On Her Majesty's Secret Service,1963,Ian Fleming,On Her Majesty's Secret Service,1969,On Her Majesty's Secret Service 1969,668
2179,On Stranger Tides,1987,Tim Powers,Pirates of the Caribbean: On Stranger Tides,2011,Pirates of the Caribbean: On Stranger Tides 2011,1865
2180,One Flew Over the Cuckoo's Nest,1962,Ken Kesey,One Flew Over the Cuckoo's Nest,1975,One Flew Over the Cuckoo's Nest 1975,510
2181,One for the Money,1994,Janet Evanovich,One for the Money,2011,One for the Money 2011,0
2182,One Hundred Years Ahead,1976,Kir Bulychev,Guest from the Future,0,Guest from the Future 0,0
2183,One Hundred Years Ahead,1976,Kir Bulychev,Гостья из будущего,1985,Гостья из будущего 1985,0
2184,One More Spring,1933,Robert Nathan,One More Spring,1935,One More Spring 1935,120979
2185,One Shot (novel),2004,Lee Child,Jack Reacher (film),2012,Jack Reacher (film) 2012,0
2186,One Thousand and One Nights,0,0,Le Palais des Mille et une nuits,1905,Le Palais des Mille et une nuits 1905,0
2187,One Thousand and One Nights,0,0,The Thief of Bagdad,1924,The Thief of Bagdad 1924,28963
2188,One Thousand and One Nights,0,0,The Thief of Bagdad,1940,The Thief of Bagdad 1940,12232
2189,One Thousand and One Nights,0,0,1001 Arabian Nights,1959,1001 Arabian Nights 1959,44871
2190,One Thousand and One Nights,0,0,Il fiore delle Mille ed una notte,0,Il fiore delle Mille ed una notte 0,0
2191,One Thousand and One Nights,0,0,Arabian Nights,1974,Arabian Nights 1974,47406
2192,One Thousand and One Nights,0,0,Scooby-Doo in Arabian Nights,1994,Scooby-Doo in Arabian Nights 1994,13351
2193,The Onion Field,1973,Joseph Wambaugh,The Onion Field,1979,The Onion Field 1979,33831
2194,The Open Range Men,1990,Lauran Paine,Open Range,2003,Open Range 2003,2055
2195,Operation Terror,1961,Gordon Gordon and Mildred Gordon,Experiment in Terror,1962,Experiment in Terror 1962,42995
2196,Ordinary People,1976,Judith Guest,Ordinary People,1980,Ordinary People 1980,16619
2197,Orlando: A Biography,1928,Virginia Woolf,Orlando,1992,Orlando 1992,9300
2198,The Osterman Weekend,1972,Robert Ludlum,The Osterman Weekend,1983,The Osterman Weekend 1983,0
2199,The Other Boleyn Girl,2001,Philippa Gregory,The Other Boleyn Girl,2003,The Other Boleyn Girl 2003,79905
2200,The Other Boleyn Girl,2001,Philippa Gregory,The Other Boleyn Girl,2008,The Other Boleyn Girl 2008,12184
2201,The Other One,1955,0,Back from the Dead,1957,Back from the Dead 1957,117028
2202,The Other Side of Midnight,1973,Sidney Sheldon,The Other Side of Midnight,1977,The Other Side of Midnight 1977,80844
2203,Our Girl Friday,1951,Ernest K. Gann,Our Girl Friday,1953,Our Girl Friday 1953,249348
2204,Our Girl Friday,1951,Ernest K. Gann,The Adventures of Sadie,0,The Adventures of Sadie 0,0
2205,Our Man in Havana,1958,Graham Greene,Our Man in Havana,1959,Our Man in Havana 1959,25495
2206,Out of Sight,1996,Elmore Leonard,Out of Sight,1998,Out of Sight 1998,1389
2207,An Outcast of the Islands,1896,Joseph Conrad,An Outcast of the Islands,1952,An Outcast of the Islands 1952,0
2208,The Outsiders,1967,S. E. Hinton,The Outsiders,1983,The Outsiders 1983,227
2209,Over the River,1933,John Galsworthy,One More River,1934,One More River 1934,120974
2210,The Ox-Bow Incident,1940,Walter Van Tilburg Clark,The Ox-Bow Incident,1943,The Ox-Bow Incident 1943,980
2211,A Painted Devil,1966,0,The Beguiled,1971,The Beguiled 1971,31906
2212,A Painted House,2001,John Grisham,A Painted House,2003,A Painted House 2003,46317
2213,The Painted Veil,1925,W. Somerset Maugham,The Painted Veil,1934,The Painted Veil 1934,82096
2214,The Painted Veil,1925,W. Somerset Maugham,The Seventh Sin,1957,The Seventh Sin 1957,193873
2215,The Painted Veil,1925,W. Somerset Maugham,The Painted Veil,2006,The Painted Veil 2006,14202
2216,Pan Wolodyjowski,1888,Henryk Sienkiewicz,Colonel Wolodyjowski,1968,Colonel Wolodyjowski 1968,0
2217,Parineeta,1914,Sharat Chandra Chattopadhyay,Parineeta,1942,Parineeta 1942,0
2218,Parineeta,1914,Sharat Chandra Chattopadhyay,Parineeta,1953,Parineeta 1953,232018
2219,Parineeta,1914,Sharat Chandra Chattopadhyay,Parineeta,1969,Parineeta 1969,307575
2220,Parineeta,1914,Sharat Chandra Chattopadhyay,Parineeta,2005,Parineeta 2005,20651
2221,Paris Blues,1957,0,Paris Blues,1961,Paris Blues 1961,33710
2222,Les Particules Élémentaires,0,Michel Houellebecq,The Elementary Particles,2006,The Elementary Particles 2006,86
2223,Pasó por aquí,1947,Eugene Manlove Rhodes,Four Faces West,1948,Four Faces West 1948,64139
2224,A Passage to India,1924,E. M. Forster,A Passage to India,1984,A Passage to India 1984,15927
2225,Patriot Games,1987,Tom Clancy,Patriot Games,1992,Patriot Games 1992,9869
2226,The Peacock Spring,1975,Rumer Godden,The Peacock Spring,1996,The Peacock Spring 1996,0
2227,The Pelican Brief,1992,John Grisham,The Pelican Brief,1993,The Pelican Brief 1993,9944
2228,The Penal Colony,1987,0,No Escape,1994,No Escape 1994,10447
2229,Percy Jackson & the Olympians,2006,0,Percy Jackson & the Olympians,2010,Percy Jackson & the Olympians 2010,0
2230,Percy Jackson & the Olympians,2006,0,Percy Jackson & the Olympians: The Lightning Thief,2010,Percy Jackson & the Olympians: The Lightning Thief 2010,32657
2231,Percy Jackson & the Olympians,2006,0,Percy Jackson & the Olympians: The Sea of Monsters,2013,Percy Jackson & the Olympians: The Sea of Monsters 2013,0
2232,Perfect Little Angels,1989,Andrew Neiderman,Perfect Little Angels,1998,Perfect Little Angels 1998,276778
2233,Pet Sematary,1983,Stephen King,Pet Sematary,1989,Pet Sematary 1989,8913
2234,Pet Sematary,1983,Stephen King,Pet Sematary Two,1992,Pet Sematary Two 1992,0
2235,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Peter Pan,1924,Peter Pan 1924,120672
2236,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Peter Pan,1953,Peter Pan 1953,10693
2237,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Return to Never Land,2002,Return to Never Land 2002,16690
2238,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Peter Pan,1976,Peter Pan 1976,535321
2239,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,The Lost Boys,1978,The Lost Boys 1978,500645
2240,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Peter Pan,1987,Peter Pan 1987,400070
2241,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Hook,1991,Hook 1991,879
2242,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Peter Pan,2003,Peter Pan 2003,10601
2243,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Peter Pan,2003,Peter Pan 2003,10601
2244,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Neverland,2003,Neverland 2003,39198
2245,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Neverland,2003,Neverland 2003,39198
2246,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Finding Neverland,2004,Finding Neverland 2004,866
2247,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Tinker Bell,2008,Tinker Bell 2008,13179
2248,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Tinker Bell,2008,Tinker Bell 2008,13179
2249,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Tinker Bell and the Lost Treasure,2009,Tinker Bell and the Lost Treasure 2009,25475
2250,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Tinker Bell and the Great Fairy Rescue,2010,Tinker Bell and the Great Fairy Rescue 2010,0
2251,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Pixie Hollow Games,2011,Pixie Hollow Games 2011,86130
2252,"Peter Pan, or The Boy Who Wouldn't Grow Up",1911,J. M. Barrie,Secret of the Wings,2012,Secret of the Wings 2012,75258
2253,Peyton Place,1956,Grace Metalious,Peyton Place,1957,Peyton Place 1957,43236
2254,The Phantom Crown: The Story of Maximilian & Carlota of Mexico,1934,0,Juarez,1939,Juarez 1939,78318
2255,Phantom Lady,1942,Cornell Woolrich,Phantom Lady,1944,Phantom Lady 1944,37992
2256,The Phantom of the Opera,1909,Gaston Leroux,The Phantom of the Opera,1925,The Phantom of the Opera 1925,964
2257,The Phantom of the Opera,1909,Gaston Leroux,Phantom of the Opera,1943,Phantom of the Opera 1943,15855
2258,The Phantom of the Opera,1909,Gaston Leroux,The Phantom of the Opera,1962,The Phantom of the Opera 1962,46330
2259,The Phantom of the Opera,1909,Gaston Leroux,The Phantom of the Opera,1989,The Phantom of the Opera 1989,86962
2260,The Phantom of the Opera,1909,Gaston Leroux,The Phantom of the Opera,1998,The Phantom of the Opera 1998,10593
2261,The Phantom of the Opera,1909,Gaston Leroux,The Phantom of the Opera,2004,The Phantom of the Opera 2004,9833
2262,Pharaoh,1895,Bolesław Prus,Pharaoh,1966,Pharaoh 1966,5040
2263,The Philadelphian,1957,Richard P. Powell,The Young Philadelphians,1959,The Young Philadelphians 1959,43111
2264,El Pianista,1985,Manuel Vázquez Montalbán,The Pianist,1998,The Pianist 1998,476761
2265,The Pickwick Papers,1836,Charles Dickens,The Pickwick Papers,1913,The Pickwick Papers 1913,192046
2266,The Pickwick Papers,1836,Charles Dickens,The Pickwick Papers,1913,The Pickwick Papers 1913,357998
2267,The Pickwick Papers,1836,Charles Dickens,The Adventures of Mr. Pickwick,1921,The Adventures of Mr. Pickwick 1921,445580
2268,The Pickwick Papers,1836,Charles Dickens,The Pickwick Papers,1952,The Pickwick Papers 1952,139204
2269,The Picture of Dorian Gray,1890,Oscar Wilde,Dorian Grays Portræt,1910,Dorian Grays Portræt 1910,0
2270,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture of Dorian Gray,1913,The Picture of Dorian Gray 1913,570452
2271,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture of Dorian Gray,1916,The Picture of Dorian Gray 1916,0
2272,The Picture of Dorian Gray,1890,Oscar Wilde,Das Bildnis des Dorian Gray,1917,Das Bildnis des Dorian Gray 1917,0
2273,The Picture of Dorian Gray,1890,Oscar Wilde,Az Élet királya,0,Az Élet királya 0,0
2274,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture of Dorian Gray,1918,The Picture of Dorian Gray 1918,0
2275,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture of Dorian Gray,1945,The Picture of Dorian Gray 1945,16559
2276,The Picture of Dorian Gray,1890,Oscar Wilde,El Retrato de Dorian Gray,1969,El Retrato de Dorian Gray 1969,0
2277,The Picture of Dorian Gray,1890,Oscar Wilde,Dorian Gray,0,Dorian Gray 0,0
2278,The Picture of Dorian Gray,1890,Oscar Wilde,The Evils of Dorian Gray,0,The Evils of Dorian Gray 0,0
2279,The Picture of Dorian Gray,1890,Oscar Wilde,The Secret of Dorian Gray,1970,The Secret of Dorian Gray 1970,0
2280,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture of Dorian Gray,1973,The Picture of Dorian Gray 1973,241310
2281,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture of Dorian Gray,1976,The Picture of Dorian Gray 1976,321910
2282,The Picture of Dorian Gray,1890,Oscar Wilde,Le Portrait de Dorian Gray,1977,Le Portrait de Dorian Gray 1977,79284
2283,The Picture of Dorian Gray,1890,Oscar Wilde,The Sins of Dorian Gray,1983,The Sins of Dorian Gray 1983,343243
2284,The Picture of Dorian Gray,1890,Oscar Wilde,Dorian,0,Dorian 0,0
2285,The Picture of Dorian Gray,1890,Oscar Wilde,Pact with the Devil,2001,Pact with the Devil 2001,0
2286,The Picture of Dorian Gray,1890,Oscar Wilde,Dorian,2004,Dorian 2004,0
2287,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture of Dorian Gray,2004,The Picture of Dorian Gray 2004,0
2288,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture of Dorian Gray,2006,The Picture of Dorian Gray 2006,0
2289,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture of Dorian Gray,2007,The Picture of Dorian Gray 2007,157922
2290,The Picture of Dorian Gray,1890,Oscar Wilde,The Picture (of Dorian Gray),2009,The Picture (of Dorian Gray) 2009,0
2291,The Picture of Dorian Gray,1890,Oscar Wilde,Dorian Gray,2009,Dorian Gray 2009,23488
2292,The Pillar of Light,1990,Gerald N. Lund,The Work and the Glory,2004,The Work and the Glory 2004,36046
2293,Pin,1981,Andrew Neiderman,Pin,1988,Pin 1988,41966
2294,"Pioneer, Go Home!",1959,Richard P. Powell,Follow That Dream,1964,Follow That Dream 1964,0
2295,The Pirates!,2005,0,The Pirates! In an Adventure with Scientists,2012,The Pirates! In an Adventure with Scientists 2012,0
2296,Pity My Simplicity,1944,0,Love Letters,1945,Love Letters 1945,109881
2297,La Planète des singes,1963,Pierre Boulle,Planet of the Apes,1968,Planet of the Apes 1968,871
2298,La Planète des singes,1963,Pierre Boulle,Planet of the Apes,1968,Planet of the Apes 1968,871
2299,La Planète des singes,1963,Pierre Boulle,Beneath the Planet of the Apes,1970,Beneath the Planet of the Apes 1970,1685
2300,La Planète des singes,1963,Pierre Boulle,Escape from the Planet of the Apes,1971,Escape from the Planet of the Apes 1971,1687
2301,La Planète des singes,1963,Pierre Boulle,Conquest of the Planet of the Apes,1972,Conquest of the Planet of the Apes 1972,1688
2302,La Planète des singes,1963,Pierre Boulle,Battle for the Planet of the Apes,1973,Battle for the Planet of the Apes 1973,1705
2303,La Planète des singes,1963,Pierre Boulle,Planet of the Apes,2001,Planet of the Apes 2001,869
2304,La Planète des singes,1963,Pierre Boulle,Rise of the Planet of the Apes,2011,Rise of the Planet of the Apes 2011,61791
2305,Pleasure Island,1949,0,The Girls of Pleasure Island,1953,The Girls of Pleasure Island 1953,108252
2306,Point de lendemain: conte dédiée à la reine,1876,Dominique Vivant,The Lovers,0,The Lovers 0,0
2307,Point de lendemain: conte dédiée à la reine,1876,Dominique Vivant,Les Amants,1958,Les Amants 1958,0
2308,The Polar Express,1985,Chris Van Allsburg,The Polar Express,2004,The Polar Express 2004,5255
2309,Pollyanna,1913,Eleanor H. Porter,Pollyanna,1920,Pollyanna 1920,0
2310,Pollyanna,1913,Eleanor H. Porter,Pollyanna,1960,Pollyanna 1960,0
2311,Pollyanna,1913,Eleanor H. Porter,Hayat sevince güzel,1971,Hayat sevince güzel 1971,0
2312,Pollyanna,1913,Eleanor H. Porter,Pollyanna,1973,Pollyanna 1973,0
2313,Pollyanna,1913,Eleanor H. Porter,The Adventures of Pollyanna,1982,The Adventures of Pollyanna 1982,0
2314,Pollyanna,1913,Eleanor H. Porter,Polly,1989,Polly 1989,74972
2315,Pollyanna,1913,Eleanor H. Porter,Polly: Comin' Home!,1990,Polly: Comin' Home! 1990,267597
2316,Pollyanna,1913,Eleanor H. Porter,Pollyanna,2003,Pollyanna 2003,0
2317,Le Pont de la Rivière Kwaï,1952,Pierre Boulle,The Bridge on the River Kwai,1957,The Bridge on the River Kwai 1957,826
2318,Le Pont de la Rivière Kwaï,1952,Pierre Boulle,Return from the River Kwai,1988,Return from the River Kwai 1988,0
2319,Poodle Springs,1959,Raymond Chandler,Poodle Springs,1998,Poodle Springs 1998,1848
2320,The Pope of Greenwich Village,1979,Vincent Patrick,The Pope of Greenwich Village,1984,The Pope of Greenwich Village 1984,32081
2321,Popiół i diament,1948,Jerzy Andrzejewski,Popiół i diament,0,Popiół i diament 0,0
2322,Popiół i diament,1948,Jerzy Andrzejewski,Ashes and Diamonds,0,Ashes and Diamonds 0,0
2323,Portnoy's Complaint,1969,Philip Roth,Portnoy's Complaint,1972,Portnoy's Complaint 1972,145364
2324,Portrait of Jennie,1940,Robert Nathan,Portrait of Jennie,1948,Portrait of Jennie 1948,32558
2325,The Poseidon Adventure,1972,Paul Gallico,The Poseidon Adventure,1972,The Poseidon Adventure 1972,551
2326,The Poseidon Adventure,1972,Paul Gallico,Beyond the Poseidon Adventure,1979,Beyond the Poseidon Adventure 1979,31638
2327,The Poseidon Adventure,1972,Paul Gallico,The Poseidon Adventure,2005,The Poseidon Adventure 2005,28512
2328,The Poseidon Adventure,1972,Paul Gallico,Poseidon,2006,Poseidon 2006,503
2329,The Positronic Man,1993,Isaac Asimov,Bicentennial Man,1999,Bicentennial Man 1999,2277
2330,Possession: A Romance,1990,A. S. Byatt,Possession,2002,Possession 2002,30072
2331,The Postman,1985,David Brin,The Postman,1997,The Postman 1997,9922
2332,The Postman Always Rings Twice,1934,James Cain,Le Dernier Tournant,0,Le Dernier Tournant 0,0
2333,The Postman Always Rings Twice,1934,James Cain,The Last Turning,1939,The Last Turning 1939,0
2334,The Postman Always Rings Twice,1934,James Cain,Ossessione,0,Ossessione 0,0
2335,The Postman Always Rings Twice,1934,James Cain,Obsession,1942,Obsession 1942,0
2336,The Postman Always Rings Twice,1934,James Cain,The Postman Always Rings Twice,1946,The Postman Always Rings Twice 1946,25736
2337,The Postman Always Rings Twice,1934,James Cain,The Postman Always Rings Twice,1981,The Postman Always Rings Twice 1981,11027
2338,The Power,1956,Frank M. Robinson,The Power,1968,The Power 1968,46015
2339,The Power and the Glory,1940,Graham Greene,The Fugitive,1947,The Fugitive 1947,37368
2340,The Power of One,1989,Bryce Courtenay,The Power of One,1992,The Power of One 1992,13823
2341,Pożegnania,1948,Stanisław Dygat,Farewells,1958,Farewells 1958,105762
2342,Presumed Innocent,1987,Scott Turow,Presumed Innocent,1990,Presumed Innocent 1990,11092
2343,Pride and Prejudice,1813,Jane Austen,Pride and Prejudice,1940,Pride and Prejudice 1940,43818
2344,Pride and Prejudice,1813,Jane Austen,Pride & Prejudice: A Latter-Day Comedy,2003,Pride & Prejudice: A Latter-Day Comedy 2003,0
2345,Pride and Prejudice,1813,Jane Austen,Bride and Prejudice,2004,Bride and Prejudice 2004,0
2346,Pride and Prejudice,1813,Jane Austen,Pride & Prejudice,2005,Pride & Prejudice 2005,4348
2347,The Prince and the Pauper,1881,Mark Twain,The Prince and the Pauper,1909,The Prince and the Pauper 1909,285955
2348,The Prince and the Pauper,1881,Mark Twain,The Prince and the Pauper,1915,The Prince and the Pauper 1915,0
2349,The Prince and the Pauper,1881,Mark Twain,Der Prinz und der Bettelknabe,1920,Der Prinz und der Bettelknabe 1920,0
2350,The Prince and the Pauper,1881,Mark Twain,Yiskor,1933,Yiskor 1933,0
2351,The Prince and the Pauper,1881,Mark Twain,The Prince and the Pauper,1937,The Prince and the Pauper 1937,37025
2352,The Prince and the Pauper,1881,Mark Twain,The Prince and the Pauper,1943,The Prince and the Pauper 1943,0
2353,The Prince and the Pauper,1881,Mark Twain,The Prince and the Pauper,1962,The Prince and the Pauper 1962,73478
2354,The Prince and the Pauper,1881,Mark Twain,Raja Aur Runk,1968,Raja Aur Runk 1968,0
