,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdbid,year
71,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1907,Tom Sawyer 1907,,
72,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1917,Tom Sawyer 1917,74609,1917
73,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1930,Tom Sawyer 1930,166307,1930
74,The Adventures of Tom Sawyer,1876,Mark Twain,The Adventures of Tom Sawyer,1938,The Adventures of Tom Sawyer 1938,30977,1938
75,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1936,Tom Sawyer 1936,,
76,The Adventures of Tom Sawyer,1876,Mark Twain,The Adventures of Mark Twain,1944,The Adventures of Mark Twain 1944,120747,1944
77,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1973,Tom Sawyer 1973,42473,1973
78,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1973,Tom Sawyer 1973,42473,1973
79,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1984,Tom Sawyer 1984,,
80,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,2000,Tom Sawyer 2000,42313,2000
81,Advise and Consent,1959,Allen Drury,Advise & Consent,1962,Advise & Consent 1962,17185,1962
82,Aelita,,Alexei Tolstoy,Aelita,1924,Aelita 1924,,
83,The African Queen,1935,C. S. Forester,The African Queen,1951,The African Queen 1951,488,1951
84,"After Dark, My Sweet",1955,Jim Thompson,"After Dark, My Sweet",1990,"After Dark, My Sweet 1990",25501,1990
85,After Hours,1979,Edwin Torres,Carlito's Way,1993,Carlito's Way 1993,6075,1993
86,Carlito's Way,1979,,Carlito's Way,1993,Carlito's Way 1993,6075,1993
87,After the Funeral,1953,Agatha Christie,Murder at the Gallop,1963,Murder at the Gallop 1963,751,1963
88,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1924,The Age of Innocence 1924,278294,1924
89,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1928,The Age of Innocence 1928,,
90,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1934,The Age of Innocence 1934,110540,1934
91,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1993,The Age of Innocence 1993,10436,1993
92,The Agony and the Ecstasy,1961,Irving Stone,The Agony and the Ecstasy,1965,The Agony and the Ecstasy 1965,36815,1965
93,Äideistä parhain,1999,,Äideistä parhain,0,Äideistä parhain 0,,
94,Äideistä parhain,1999,,Mother of Mine,2005,Mother of Mine 2005,32990,2005
95,Äideistä parhain,1999,,Den bästa av mödrar,0,Den bästa av mödrar 0,,
96,Aimez-vous Brahms?,1959,Françoise Sagan,Goodbye Again,1961,Goodbye Again 1961,84119,1961
97,Aimez-vous Brahms?,1959,Françoise Sagan,Jahan Tum Le Chalo,1999,Jahan Tum Le Chalo 1999,,
98,Air America,1985,,Air America,1990,Air America 1990,11856,1990
99,Airborn,2004,Kenneth Oppel,Airborn,2012,Airborn 2012,,
100,Airport,1968,Arthur Hailey,Airport,1970,Airport 1970,10671,1970
101,Airport,1968,Arthur Hailey,Airport 1975,1975,Airport 1975 1975,,
102,Airport,1968,Arthur Hailey,Airport '77,1977,Airport '77 1977,7227,1977
103,Airport,1968,Arthur Hailey,The Concorde ... Airport '79,1979,The Concorde ... Airport '79 1979,,
104,Alice Adams,1921,Booth Tarkington,Alice Adams,1923,Alice Adams 1923,,
105,Alice Adams,1921,Booth Tarkington,Alice Adams,1935,Alice Adams 1935,43886,1935
106,Allan Quatermain,1887,,Allan Quatermain and the Lost City of Gold,1987,Allan Quatermain and the Lost City of Gold 1987,,
107,King Solomon's Mines,1885,H. Rider Haggard,Allan Quatermain and the Lost City of Gold,1987,Allan Quatermain and the Lost City of Gold 1987,,
108,All Fall Down,1960,James Leo Herlihy,All Fall Down,1962,All Fall Down 1962,86240,1962
109,All the Brothers Were Valiant,1919,Ben Ames Williams,All the Brothers Were Valiant,1923,All the Brothers Were Valiant 1923,536671,1923
110,All the Brothers Were Valiant,1919,Ben Ames Williams,Across to Singapore,1928,Across to Singapore 1928,142159,1928
111,All the Brothers Were Valiant,1919,Ben Ames Williams,All the Brothers Were Valiant,1953,All the Brothers Were Valiant 1953,91419,1953
112,All the King's Men,1946,Robert Penn Warren,All the King's Men,1949,All the King's Men 1949,25430,1949
113,All the King's Men,1946,Robert Penn Warren,All the King's Men,2006,All the King's Men 2006,1717,2006
114,All the Pretty Horses,1992,Cormac McCarthy,All the Pretty Horses,2000,All the Pretty Horses 2000,21355,2000
115,All the Rivers Run,1958,Nancy Cato,All the Rivers Run,1983,All the Rivers Run 1983,,
116,All the Way,2001,,Sex Drive,2008,Sex Drive 2008,13523,2008
