,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdbid,year
3281,Winnie-the-Pooh,1928,,Tigger and Pooh and a Musical Too,2009,Tigger and Pooh and a Musical Too 2009,,
3282,Winnie-the-Pooh,1928,,Winnie the Pooh,2011,Winnie the Pooh 2011,51162,2011
3283,Winter Meeting,1946,Grace Zaring Stone,Winter Meeting,1948,Winter Meeting 1948,43457,1948
3284,Winter's Bone,2006,Daniel Woodrell,Winter's Bone,2010,Winter's Bone 2010,39013,2010
3285,The Winter of Our Discontent,1961,John Steinbeck,The Winter of Our Discontent,1983,The Winter of Our Discontent 1983,358139,1983
3286,Wise Blood,1952,Flannery O'Connor,Wise Blood,1979,Wise Blood 1979,42179,1979
3287,The Witches,1983,Roald Dahl,The Witches,1990,The Witches 1990,10166,1990
3288,The Witches of Eastwick,1984,John Updike,The Witches of Eastwick,1987,The Witches of Eastwick 1987,6069,1987
3289,Witchfinder General,1966,Ronald Bassett,Witchfinder General,1968,Witchfinder General 1968,31965,1968
3290,Witch's Milk,1968,Peter De Vries,Pete 'n' Tillie,1972,Pete 'n' Tillie 1972,107774,1972
3291,with a Perfect Stranger,2006,,The Perfect Stranger,2005,The Perfect Stranger 2005,46003,2005
3292,with a Perfect Stranger,2006,,The Perfect Stranger,2005,The Perfect Stranger 2005,46003,2005
3293,with a Perfect Stranger,2006,,Another Perfect Stranger,2007,Another Perfect Stranger 2007,46013,2007
3294,with a Perfect Stranger,2006,,The Perfect Gift,2009,The Perfect Gift 2009,113093,2009
3295,The Witnesses,1971,,The Bedroom Window,1987,The Bedroom Window 1987,39074,1987
3296,Woe to Live On,1987,Daniel Woodrell,Ride with the Devil,1999,Ride with the Devil 1999,22267,1999
3297,Woe to Live On,1987,Daniel Woodrell,Ride with the Devil,1999,Ride with the Devil 1999,419311,1999
3298,The Wolfen,1978,Whitley Strieber,Wolfen,1981,Wolfen 1981,10725,1981
3299,The Woman Chaser,1960,Charles Willeford,The Woman Chaser,1999,The Woman Chaser 1999,28666,1999
3300,The Woman in Black,1983,Susan Hill,The Woman in Black,1989,The Woman in Black 1989,16182,1989
3301,The Woman in Black,1983,Susan Hill,The Woman in Black,2012,The Woman in Black 2012,65086,2012
3302,The Woman in White,1859,Wilkie Collins,The Woman in White,1912,The Woman in White 1912,,
3303,The Woman in White,1859,Wilkie Collins,The Woman in White,1912,The Woman in White 1912,,
3304,The Woman in White,1859,Wilkie Collins,The Woman in White,1917,The Woman in White 1917,174727,1917
3305,The Woman in White,1859,Wilkie Collins,The Woman in White,1929,The Woman in White 1929,,
3306,The Woman in White,1859,Wilkie Collins,Crimes at the Dark House,1940,Crimes at the Dark House 1940,87907,1940
3307,The Woman in White,1859,Wilkie Collins,The Woman in White,1948,The Woman in White 1948,37300,1948
3308,The Woman in White,1859,Wilkie Collins,The Woman in Black,1982,The Woman in Black 1982,,
3309,The Woman in White,1859,Wilkie Collins,Zhenshchina v belom,1982,Zhenshchina v belom 1982,,
3310,"Woman, Thou Art Loosed!: Healings the Wounds of the Past",1993,T. D. Jakes,Woman Thou Art Loosed,2004,Woman Thou Art Loosed 2004,44634,2004
3311,Woman Wanted,1984,Joanna McClelland Glass,Woman Wanted,2000,Woman Wanted 2000,,
3312,Women in Love,1920,D. H. Lawrence,Women in Love,1969,Women in Love 1969,66027,1969
3313,The Women of Brewster Place,1982,Gloria Naylor,The Women of Brewster Place,1989,The Women of Brewster Place 1989,128578,1989
3314,Wonder Boys,1995,Michael Chabon,Wonder Boys,2000,Wonder Boys 2000,11004,2000
3315,The Wonderful Country,1952,"Thomas C. Lea, III",The Wonderful Country,1952,The Wonderful Country 1952,,
3316,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Fairylogue and Radio-Plays,1908,The Fairylogue and Radio-Plays 1908,470664,1908
3317,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Wizard of Oz,1910,The Wonderful Wizard of Oz 1910,,
3318,The Wonderful Wizard of Oz,1900,L. Frank Baum,Dorothy and the Scarecrow in Oz,1910,Dorothy and the Scarecrow in Oz 1910,,
3319,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Land of Oz,1910,The Land of Oz 1910,,
3320,The Wonderful Wizard of Oz,1900,L. Frank Baum,John Dough and the Cherub,1910,John Dough and the Cherub 1910,,
3321,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Patchwork Girl of Oz,1914,The Patchwork Girl of Oz 1914,74827,1914
3322,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Magic Cloak of Oz,1914,The Magic Cloak of Oz 1914,56181,1914
3323,The Wonderful Wizard of Oz,1900,L. Frank Baum,"His Majesty, the Scarecrow of Oz",1914,"His Majesty, the Scarecrow of Oz 1914",62935,1914
3324,The Wonderful Wizard of Oz,1900,L. Frank Baum,Wizard of Oz,1925,Wizard of Oz 1925,,
3325,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of Oz,1933,The Wizard of Oz 1933,62937,1933
3326,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of Oz,1939,The Wizard of Oz 1939,630,1939
3327,The Wonderful Wizard of Oz,1900,L. Frank Baum,Return to Oz,1964,Return to Oz 1964,,
3328,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of Mars,1965,The Wizard of Mars 1965,53442,1965
3329,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Land of Oz,1969,The Wonderful Land of Oz 1969,126488,1969
3330,The Wonderful Wizard of Oz,1900,L. Frank Baum,Ayşecik ve Sihirli Cüceler Rüyalar Ülkesinde,1971,Ayşecik ve Sihirli Cüceler Rüyalar Ülkesinde 1971,,
3331,The Wonderful Wizard of Oz,1900,L. Frank Baum,Hunter,1973,Hunter 1973,,
3332,The Wonderful Wizard of Oz,1900,L. Frank Baum,Zardoz,1974,Zardoz 1974,4923,1974
3333,The Wonderful Wizard of Oz,1900,L. Frank Baum,Journey Back to Oz,1974,Journey Back to Oz 1974,187542,1974
3334,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Wizard of Oz,1975,The Wonderful Wizard of Oz 1975,,
3335,The Wonderful Wizard of Oz,1900,L. Frank Baum,Oz,1976,Oz 1976,51560,1976
3336,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wiz,1978,The Wiz 1978,24961,1978
3337,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of Oz,1982,The Wizard of Oz 1982,222960,1982
3338,The Wonderful Wizard of Oz,1900,L. Frank Baum,Return to Oz,1985,Return to Oz 1985,13155,1985
3339,The Wonderful Wizard of Oz,1900,L. Frank Baum,Dorothy Meets Ozma of Oz,1987,Dorothy Meets Ozma of Oz 1987,,
3340,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wizard of A.I.D.S.,1987,The Wizard of A.I.D.S. 1987,,
3341,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Galaxy of Oz,1990,The Wonderful Galaxy of Oz 1990,,
3342,The Wonderful Wizard of Oz,1900,L. Frank Baum,Lion of Oz,2000,Lion of Oz 2000,146499,2000
3343,The Wonderful Wizard of Oz,1900,L. Frank Baum,Lost in Oz,2002,Lost in Oz 2002,319784,2002
3344,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Muppets' Wizard of Oz,2005,The Muppets' Wizard of Oz 2005,20910,2005
3345,The Wonderful Wizard of Oz,1900,L. Frank Baum,Tin Man,2007,Tin Man 2007,,
3346,The Wonderful Wizard of Oz,1900,L. Frank Baum,Tom and Jerry and the Wizard of Oz,2011,Tom and Jerry and the Wizard of Oz 2011,,
3347,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Wonderful Wizard of Oz,2011,The Wonderful Wizard of Oz 2011,,
3348,The Wonderful Wizard of Oz,1900,L. Frank Baum,The Witches of Oz,2011,The Witches of Oz 2011,570125,2011
3349,The Wonderful Wizard of Oz,1900,L. Frank Baum,Dorothy of Oz,2012,Dorothy of Oz 2012,,
3350,The World According to Garp,1978,John Irving,The World According to Garp,1982,The World According to Garp 1982,11307,1982
3351,The World in His Arms,1946,Rex Beach,The World in His Arms,1952,The World in His Arms 1952,74436,1952
3352,The World of Henry Orient,1956,Nora Johnson,The World of Henry Orient,1964,The World of Henry Orient 1964,19662,1964
3353,The Wreck of the Mary Deare,1956,Hammond Innes,The Wreck of the Mary Deare,1959,The Wreck of the Mary Deare 1959,114618,1959
3354,The Wrong Box,1889,Robert Louis Stevenson,The Wrong Box,1966,The Wrong Box 1966,62143,1966
3355,Wuthering Heights,1847,Emily Brontë,Wuthering Heights,1939,Wuthering Heights 1939,3084,1939
3356,Wuthering Heights,1847,Emily Brontë,Abismos de Pasión,1954,Abismos de Pasión 1954,,
3357,Wuthering Heights,1847,Emily Brontë,Wuthering Heights,1970,Wuthering Heights 1970,98491,1970
3358,Wuthering Heights,1847,Emily Brontë,Emily Brontë's Wuthering Heights,1992,Emily Brontë's Wuthering Heights 1992,,
3359,Wuthering Heights,1847,Emily Brontë,Wuthering Heights,2003,Wuthering Heights 2003,165569,2003
3360,The Warriors,1965,Sol Yurick,The Warriors,1979,The Warriors 1979,11474,1979
3361,Yaju no seishun,1959,,Youth of the Beast,1963,Youth of the Beast 1963,37939,1963
3362,The Year of Living Dangerously,1978,Christopher Koch,The Year of Living Dangerously,1982,The Year of Living Dangerously 1982,11541,1982
3363,The Year of the Angry Rabbit,1964,Russell Braddon,Night of the Lepus,1972,Night of the Lepus 1972,38761,1972
3364,The Year of the Horse,1965,Eric S. Hatch,The Horse in the Gray Flannel Suit,1968,The Horse in the Gray Flannel Suit 1968,,
3365,Yellowstone Kelly,1958,Henry Wilson Allen,Yellowstone Kelly,1959,Yellowstone Kelly 1959,72160,1959
3366,Les yeux sans visage,1959,,Eyes Without a Face,1960,Eyes Without a Face 1960,31417,1960
3367,Yield to the Night,1954,Joan Henry,Yield to the Night,1956,Yield to the Night 1956,20806,1956
3368,"Yo, Puta",2003,Isabel Pisano,Whore,2004,Whore 2004,,
3369,You Only Live Twice,1964,Ian Fleming,You Only Live Twice,1967,You Only Live Twice 1967,667,1967
3370,You're Best Alone,1943,Norah Lofts,Guilt Is My Shadow,1950,Guilt Is My Shadow 1950,87340,1950
3371,Your Ticket Is No Longer Valid,1977,Romain Gary,Your Ticket Is No Longer Valid,1981,Your Ticket Is No Longer Valid 1981,112588,1981
3372,Young Adam,1957,Alexander Trocchi,Young Adam,2003,Young Adam 2003,237,2003
3373,Young Man of Manhattan,1930,Katharine Brush,Young Man of Manhattan,1930,Young Man of Manhattan 1930,198227,1930
3374,Young Man with a Horn,1938,Dorothy Baker,Young Man with a Horn,1950,Young Man with a Horn 1950,34623,1950
3375,De Zaak Alzheimer,2000,Jef Geeraerts,De Zaak Alzheimer,0,De Zaak Alzheimer 0,,
3376,De Zaak Alzheimer,2000,Jef Geeraerts,The Alzheimer Case,2003,The Alzheimer Case 2003,,
3377,The Story of Zarak Khan,1949,,Zarak,1956,Zarak 1956,227878,1956
3378,Zathura,2002,Chris Van Allsburg,Zathura,2005,Zathura 2005,,
3379,Zazie in the Metro,1959,Raymond Queneau,Zazie in the Metro,0,Zazie in the Metro 0,,
3380,Zazie in the Metro,1959,Raymond Queneau,Zazie dans le Métro,1960,Zazie dans le Métro 1960,2546,1960
3381,De Zesde Mei,2003,Tomas Ross,5-Jun,2003,06/05 2003,,
3382,Zona Zamfirova,1906,,Zona Zamfirova,2002,Zona Zamfirova 2002,,
3383,Zorba the Greek,1946,Nikos Kazantzakis,Zorba the Greek,1964,Zorba the Greek 1964,10604,1964
3384,Zuqāq al-Midaq,1947,Naguib Mahfouz,El callejón de los milagros,1994,El callejón de los milagros 1994,,
3385,,,,,,The Alphabet Murders 1965,6026,1965
3386,,,,,,The Assault 2014,295237,2014
3387,,,,,,The Assault 2010,59145,2010
3388,,,,,,The Assault 1996,149552,1996
3389,,,,,,Adam Resurrected 2008,18516,2008
3390,,,,,,Abandon 2010,557857,2010
3391,,,,,,Paper Moon 2013,212164,2013
3392,,,,,,Paper Moon 1949,564139,1949
3393,,,,,,The Adventurers 2017,452551,2017
3394,,,,,,The Adventurers 1995,45435,1995
3395,,,,,,The Adventurers 2012,152869,2012
3396,,,,,,The Adventurers 2014,268763,2014
3397,,,,,,The Adventures of Huckleberry Finn 2012,151474,2012
3398,,,,,,The Adventures of Huckleberry Finn 1991,462950,1991
3399,,,,,,Hopelessly Lost 1973,27923,1973
3400,,,,,,Adventures of Huckleberry Finn 1986,15479,1986
3401,,,,,,Tom and Huck 2012,126897,2012
3402,,,,,,The Adventures of Pinocchio 1972,58451,1972
3403,,,,,,The Adventures of Pinocchio 1947,489447,1947
3404,,,,,,The Adventures of Pinocchio 1988,266906,1988
3405,,,,,,Pinocchio 1970,413518,1970
3406,,,,,,Pinocchio 1970,200596,1970
3407,,,,,,Pinocchio 2012,136619,2012
3408,,,,,,Pinocchio 2013,246790,2013
3409,,,,,,Pinocchio 1971,28779,1971
3410,,,,,,Pinocchio 2015,365851,2015
3411,,,,,,Pinocchio 2015,378535,2015
3412,,,,,,Pinocchio 2021,555604,2021
3413,,,,,,Pinocchio 1984,423030,1984
3414,,,,,,Pinocchio 1999,357233,1999
3415,,,,,,Tom Sawyer 2011,104711,2011
3416,,,,,,The Adventures of Tom Sawyer 1986,326893,1986
3417,,,,,,The Adventures of Tom Sawyer 1968,465587,1968
3418,,,,,,Aelita 1980,478254,1980
3419,,,,,,Goodbye Again 1933,239093,1933
3420,,,,,,Airborn 1968,326106,1968
3421,,,,,,Airport 1994,466118,1994
3422,,,,,,Airport 2017,467672,2017
3423,,,,,,Airport 1993,462144,1993
3424,,,,,,Airport 1975 1974,27932,1974
3425,,,,,,Allan Quatermain and the Lost City of Gold 1986,9710,1986
3426,,,,,,All Fall Down 2009,163850,2009
3427,,,,,,All Fall Down 2014,265932,2014
3428,,,,,,All Fall Down 1993,466257,1993
3429,,,,,,All the King's Men 1999,53253,1999
3430,,,,,,All the King's Men 1983,252319,1983
3431,,,,,,Sex Drive 2003,112039,2003
3432,,,,,,Almayer's Folly 2013,201895,2013
3433,,,,,,Along Came a Spider 1970,252708,1970
3434,,,,,,A Place in the Sun 1959,243195,1959
3435,,,,,,A Place in the Sun 1994,336317,1994
3436,,,,,,A Place in the Sun 2012,118513,2012
3437,,,,,,Intervista 1998,335078,1998
3438,,,,,,Amerika 2000,429968,2000
3439,,,,,,Amerika 1983,559609,1983
3440,,,,,,Amerika 2015,350082,2015
3441,,,,,,Amerika 1996,183589,1996
3442,,,,,,Ten Little Indians 1968,387131,1968
3443,,,,,,Ten Little Indians 1974,4883,1974
3444,,,,,,Ten Little Indians 1987,4885,1987
3445,,,,,,Gumnaam 2008,443950,2008
3446,,,,,,Zehn kleine Negerlein 1992,534534,1992
3447,,,,,,Identity 1986,464099,1986
3448,,,,,,Identity 2009,554130,2009
3449,,,,,,Identity 2012,356228,2012
3450,,,,,,Angel 1984,1803,1984
3451,,,,,,Angel 2015,350563,2015
3452,,,,,,Angel 2017,461092,2017
3453,,,,,,Angel 1937,44208,1937
3454,,,,,,Angel Square 1991,325047,1991
3455,,,,,,Animal Farm 1970,539745,1970
3456,,,,,,The King and I 2018,545292,2018
3457,,,,,,Anna and the King 1997,116927,1997
3458,,,,,,Anna Karenina 2009,150772,2009
3459,,,,,,Anna Karenina 1961,281786,1961
3460,,,,,,Anna Karenina 1911,438581,1911
3461,,,,,,Anna Karenina 1976,380370,1976
3462,,,,,,Anna Karenina 1920,466667,1920
3463,,,,,,Anna Karenina 1918,227710,1918
3464,,,,,,Love 2011,54320,2011
3465,,,,,,Love 2015,292431,2015
3466,,,,,,River of Love 1971,533311,1971
3467,,,,,,Anne of Green Gables 2016,397520,2016
3468,,,,,,Anne of Green Gables: A New Beginning 2008,44576,2008
3469,,,,,,Antonieta 2016,417493,2016
3470,,,,,,Appointment with Death 2009,266481,2009
3471,,,,,,Appointment with Death 1989,422298,1989
3472,,,,,,Buck Rogers 1977,3787,1977
3473,,,,,,Buck Rogers in the 25th Century 1934,3785,1934
3474,,,,,,Elevator to the Gallows 2010,226261,2010
3475,,,,,,The Badlanders 1958,94533,1958
3476,,,,,,Asylum 2008,19116,2008
3477,,,,,,Asylum 2008,377891,2008
3478,,,,,,Asylum 1972,25993,1972
3479,,,,,,Asylum 1972,291136,1972
3480,,,,,,Asylum 1997,208182,1997
3481,,,,,,Asylum 2000,123760,2000
3482,,,,,,Asylum 2013,201022,2013
3483,,,,,,Asylum 2003,244995,2003
3484,,,,,,Journey to the Center of the Earth 1988,122894,1988
3485,,,,,,Journey to the Center of the Earth 1998,525051,1998
3486,,,,,,Journey to the Center of the Earth 1977,28481,1977
3487,,,,,,Atlantis 1991,15466,1991
3488,,,,,,Atlantis 1990,361160,1990
3489,,,,,,Atlantis 2014,298437,2014
3490,,,,,,Atlantis 1996,377103,1996
3491,,,,,,Atlantis 1974,503540,1974
3492,,,,,,Atlantis 2008,112044,2008
3493,,,,,,Atonement 1970,333635,1970
3494,,,,,,Atonement 2005,506131,2005
3495,,,,,,The Aviator 2004,2567,2004
3496,,,,,,The Aviator 1929,523401,1929
3497,,,,,,Baby Love 1997,52242,1997
3498,,,,,,Baby Love 2008,15435,2008
3499,,,,,,Baby Love 1995,359586,1995
3500,,,,,,Baby Love 1979,330477,1979
3501,,,,,,Baby Love 1974,564530,1974
3502,,,,,,Baby Love 1984,38172,1984
3503,,,,,,Back Street 1973,481350,1973
3504,,,,,,Bad Girl 2016,405050,2016
3505,,,,,,Bad Girl 2011,482360,2011
3506,,,,,,Bad Girl 2012,144566,2012
3507,,,,,,Bad Girl 1963,279233,1963
3508,,,,,,Bad Girl 1991,370020,1991
3509,,,,,,The Bad Seed 2018,532814,2018
3510,,,,,,The Bait 2016,411679,2016
3511,,,,,,The Bait 1964,301489,1964
3512,,,,,,The Bait 2009,217848,2009
3513,,,,,,The Bait 1998,349504,1998
3514,,,,,,Battle Cry 1975,169916,1975
3515,,,,,,Battle Cry 2018,554614,2018
3516,,,,,,Battle Royale 2020,517557,2020
3517,,,,,,The Accused 1988,10868,1988
3518,,,,,,The Accused 2018,519223,2018
3519,,,,,,The Accused 1970,460652,1970
3520,,,,,,Beaches 2017,430642,2017
3521,,,,,,The Young Warriors 1966,297897,1966
3522,,,,,,The Beast 2018,549311,2018
3523,,,,,,The Beast 2014,248641,2014
3524,,,,,,The Beast Must Die 1974,40218,1974
3525,,,,,,The Beast Must Die 1952,421101,1952
3526,,,,,,This Man Must Die 1969,2527,1969
3527,,,,,,The Beast Within 1995,272873,1995
3528,,,,,,Beat the Devil 2002,51939,2002
3529,,,,,,Beautiful Creatures 2000,15940,2000
3530,,,,,,Bedelia 1930,166512,1930
3531,,,,,,Suspicion 2015,356575,2015
3532,,,,,,Suspicion 1982,335390,1982
3533,,,,,,Suspicion 2012,104059,2012
3534,,,,,,Suspicion 1987,281241,1987
3535,,,,,,Being There 2017,471638,2017
3536,,,,,,Being There 2011,79718,2011
3537,,,,,,Being There 1970,483504,1970
3538,,,,,,Bel Ami 1968,333135,1968
3539,,,,,,Bel Ami 1955,152732,1955
3540,,,,,,The Real McCoy 1999,392067,1999
3541,,,,,,The Real McCoy 1930,292660,1930
3542,,,,,,Beloved 1985,367580,1985
3543,,,,,,Beloved 1934,529359,1934
3544,,,,,,Beloved 2009,135128,2009
3545,,,,,,Ben-Hur 2016,271969,2016
3546,,,,,,Gasoline 2017,458249,2017
3547,,,,,,Beowulf 1999,5470,1999
3548,,,,,,Beowulf 1976,283222,1976
3549,,,,,,Berlin Alexanderplatz 1931,156318,1931
3550,,,,,,Don't Tell 2005,18219,2005
3551,,,,,,Don't Tell 2017,401157,2017
3552,,,,,,Human Desire 1919,513832,1919
3553,,,,,,Beyond This Place 2010,205140,2010
3554,,,,,,Poola Rangadu 2012,91833,2012
3555,,,,,,Poola Rangadu 2012,307784,2012
3556,,,,,,The Big Bounce 1960,446349,1960
3557,,,,,,The Big Bounce 1970,397696,1970
3558,,,,,,No Way Out 1950,28433,1950
3559,,,,,,No Way Out 2008,204893,2008
3560,,,,,,No Way Out 2015,343812,2015
3561,,,,,,No Way Out 2011,140659,2011
3562,,,,,,Big Fish 2017,533460,2017
3563,,,,,,Big Fish 1970,581879,1970
3564,,,,,,The Big Heat 1988,104259,1988
3565,,,,,,The Big Sleep 2014,298310,2014
3566,,,,,,Big Trouble 1986,78041,1986
3567,,,,,,Black Angel 2002,30301,2002
3568,,,,,,Black Angel 1980,273879,1980
3569,,,,,,Black Angel 1998,51719,1998
3570,,,,,,The Black Arrow 1948,283921,1948
3571,,,,,,The Black Arrow 1985,256230,1985
3572,,,,,,Black Arrow 1944,402546,1944
3573,,,,,,Black Beauty 1987,219191,1987
3574,,,,,,Black Beauty 1987,114605,1987
3575,,,,,,Black Beauty 2015,331464,2015
3576,,,,,,Black Beauty 1970,526702,1970
3577,,,,,,Courage of Black Beauty 1957,246970,1957
3578,,,,,,Street of Chance 1930,169326,1930
3579,,,,,,The Chase 1966,31602,1966
3580,,,,,,The Chase 1994,10694,1994
3581,,,,,,The Chase 2017,488621,2017
3582,,,,,,The Chase 1991,220396,1991
3583,,,,,,The Chase 2012,110038,2012
3584,,,,,,The Chase 1974,234500,1974
3585,,,,,,The Chase 1971,542173,1971
3586,,,,,,The Black Rose 1965,292668,1965
3587,,,,,,Black Sunday 1960,27632,1960
3588,,,,,,Black Sunday 1926,344430,1926
3589,,,,,,The Deep End 2013,392150,2013
3590,,,,,,Bleak House 1926,357996,1926
3591,,,,,,Count Your Blessings 1987,120472,1987
3592,,,,,,Broken Arrow 1996,9208,1996
3593,,,,,,The Blood Oranges 1998,125958,1998
3594,,,,,,Blood Work 2009,108641,2009
3595,,,,,,Blueprint 2017,473821,2017
3596,,,,,,Blueprint 2009,99049,2009
3597,,,,,,Blueprint 2007,507500,2007
3598,,,,,,The Body 2012,111083,2012
3599,,,,,,The Body 1970,169666,1970
3600,,,,,,Bonjour Tristesse 1995,471803,1995
3601,,,,,,Daniel 2019,575800,2019
3602,,,,,,Daniel 2009,488361,2009
3603,,,,,,Daniel 1993,41880,1993
3604,,,,,,Daniel 1967,535794,1967
3605,,,,,,Das Boot 1981,387,1981
3606,,,,,,The Boat 2018,533412,2018
3607,,,,,,The Boat 2018,543915,2018
3608,,,,,,The Boat 1921,50704,1921
3609,,,,,,The Boat 2010,213369,2010
3610,,,,,,The Border Legion 1940,53273,1940
3611,,,,,,The Border Legion 1930,315960,1930
3612,,,,,,Bordertown 2007,4351,2007
3613,,,,,,The Borrowers 2011,80709,2011
3614,,,,,,The Brave Little Toaster to the Rescue 1997,20378,1997
3615,,,,,,The Bride Wore Black 1968,4191,1968
3616,,,,,,The Bridges at Toko-Ri 1954,35580,1954
3617,,,,,,Behind the Sun 2013,305690,2013
3618,,,,,,Brothers in Law 2009,183623,2009
3619,,,,,,The Brothers Karamazov 2013,356253,2013
3620,,,,,,Buffalo Girls 2012,142208,2012
3621,,,,,,Buffalo Soldiers 2001,9104,2001
3622,,,,,,Buffalo Soldiers 1997,212257,1997
3623,,,,,,Don Juan 1969,19019,1969
3624,,,,,,Don Juan 1998,237796,1998
3625,,,,,,Don Juan 2015,380323,2015
3626,,,,,,Don Juan 1965,522744,1965
3627,,,,,,Don Juan 1950,256033,1950
3628,,,,,,Don Juan 1956,373126,1956
3629,,,,,,Don Juan 1990,400992,1990
3630,,,,,,Mountains of the Moon 2013,246575,2013
3631,,,,,,Cal 2013,222433,2013
3632,,,,,,The Call of the Wild 2007,59225,2007
3633,,,,,,The Call of the Wild 1923,344546,1923
3634,,,,,,The Call of the Wild 1908,382974,1908
3635,,,,,,The Call of the Wild 2000,407534,2000
3636,,,,,,The Call of the Wild 1976,121727,1976
3637,,,,,,Call of the Wild 1935,119819,1935
3638,,,,,,Call of the Wild 2019,481848,2019
3639,,,,,,Call of the Wild 1993,220768,1993
3640,,,,,,Call of the Wild 2002,102648,2002
3641,,,,,,Call of the Wild 1996,516845,1996
3642,,,,,,Candy 1968,46498,1968
3643,,,,,,Captain Blood 1960,56268,1960
3644,,,,,,A Captive in the Land 1993,279583,1993
3645,,,,,,The Love Bug 1925,184416,1925
3646,,,,,,The Love Bug 1980,190266,1980
3647,,,,,,The Card 2016,507518,2016
3648,,,,,,Nevada Smith 1966,5921,1966
3649,,,,,,Casino Royale 1954,281661,1954
3650,,,,,,The Castle 1997,13852,1997
3651,,,,,,The Castle 1964,56871,1964
3652,,,,,,Das Schloß 1962,287082,1962
3653,,,,,,Diabolique 2014,249672,2014
3654,,,,,,Diabolique 2016,564741,2016
3655,,,,,,Diabolique 1955,827,1955
3656,,,,,,The Pianist 2002,423,2002
3657,,,,,,The Chamber 2016,405535,2016
3658,,,,,,The Chamber 1970,507538,1970
3659,,,,,,The Blue Room 2014,266034,2014
3660,,,,,,The Blue Room 2015,466104,2015
3661,,,,,,Champagne 2010,341049,2010
3662,,,,,,The Damned 2013,258086,2013
3663,,,,,,Chocolat 2016,369778,2016
3664,,,,,,Chocolat 1988,41951,1988
3665,,,,,,Christine 2016,339405,2016
3666,,,,,,Christine 1958,4956,1958
3667,,,,,,Christine 1987,168238,1987
3668,,,,,,Christine 1916,261422,1916
3669,,,,,,Christine 1963,2222,1963
3670,,,,,,Singles 1992,11068,1992
3671,,,,,,Singles 2009,255411,2009
3672,,,,,,Singles 1993,558224,1993
3673,,,,,,Singles 2004,502569,2004
3674,,,,,,The Chronicles of Narnia: The Magician's Nephew 2021,489062,2021
3675,,,,,,The Citadel 1988,333082,1988
3676,,,,,,The Citadel 1992,551189,1992
3677,,,,,,City of God 2011,105315,2011
3678,,,,,,City of God 1997,503450,1997
3679,,,,,,The Birth of a Nation 2016,339408,2016
3680,,,,,,The Birth of a Nation 1973,280664,1973
3681,,,,,,Class Reunion 2019,580246,2019
3682,,,,,,Class Reunion 1982,33374,1982
3683,,,,,,Class Reunion 1972,29675,1972
3684,,,,,,The Client 2011,81242,2011
3685,,,,,,Vinyl 2012,177999,2012
3686,,,,,,Vinyl 2000,116569,2000
3687,,,,,,Vinyl 1970,560949,1970
3688,,,,,,A Clockwork Orange 2013,206442,2013
3689,,,,,,Cocoon 1980,448525,1980
3690,,,,,,Cocoon 1994,49473,1994
3691,,,,,,Cocoon 2017,449628,2017
3692,,,,,,Cocoon 2017,469057,2017
3693,,,,,,Cocoon 2015,347798,2015
3694,,,,,,Cocoon 1970,430167,1970
3695,,,,,,Code of the West 2013,181108,2013
3696,,,,,,Code of the West 1929,322728,1929
3697,,,,,,The Color Purple 1970,558915,1970
3698,,,,,,The Color Purple 2010,414086,2010
3699,,,,,,Compulsion 2016,368182,2016
3700,,,,,,Compulsion 2013,201847,2013
3701,,,,,,Compulsion 2008,35728,2008
3702,,,,,,Compulsion 2011,478147,2011
3703,,,,,,Compulsion 1970,554570,1970
3704,,,,,,Compulsion 2018,515581,2018
3705,,,,,,The Count of Monte Cristo 1973,561929,1973
3706,,,,,,The Count of Monte Cristo 1991,116891,1991
3707,,,,,,The Count of Monte Cristo 1996,272963,1996
3708,,,,,,The Count of Monte Cristo 1954,82046,1954
3709,,,,,,The Return of Monte Cristo 1946,347776,1946
3710,,,,,,Padayottam 2018,543398,2018
3711,,,,,,Veta 2014,307800,2014
3712,,,,,,The Comedians 1941,265942,1941
3713,,,,,,The Comedians 2000,292933,2000
3714,,,,,,The Comedians 1980,486842,1980
3715,,,,,,Arsène Lupin 1932,161297,1932
3716,,,,,,Congo 1972,276124,1972
3717,,,,,,A Connecticut Yankee in King Arthur's Court 1952,166210,1952
3718,,,,,,A Connecticut Yankee in King Arthur's Court 1978,541479,1978
3719,,,,,,A Connecticut Yankee in King Arthur's Court 1970,440244,1970
