id_repeat,id,BookTitle,BookAltTitle,BookYear,BookLink,Author,FilmTitle,FilmLink,FilmYear,id_goodreads,isbn_goodreads,isbn13_goodreads,title_from_goodreads_match,author_from_goodreads_match,x,y,OK?,b
2856,2856,Texas,,1985,/wiki/Texas_(novel),James A. Michener,James A. Michener's Texas,/wiki/James_A._Michener%27s_Texas,1994,1398138,394541545,9.78E+12,,,FALSE,FALSE,OK isbn match,
2871,2871,Thin Air,,1995,/wiki/Thin_Air_(novel),Robert B. Parker,Thin Air,/w/index.php?title=Spenser_(television_films)&action=edit&redlink=1,2000,69628,399140204,9.78E+12,,,FALSE,FALSE,OK isbn match,
2906,2906,A Time to Kill,,1989,/wiki/A_Time_to_Kill_(Grisham_novel),John Grisham,A Time to Kill,/wiki/A_Time_to_Kill_(1996_film),1996,685427,440211727,9.78E+12,,,FALSE,FALSE,OK isbn match,
2907,2907,The Time Traveler's Wife,,2003,/wiki/The_Time_Traveler%27s_Wife,Audrey Niffenegger,The Time Traveler's Wife,/wiki/The_Time_Traveler%27s_Wife_(film),2009,207035,015602943X,9.78E+12,,,FALSE,FALSE,OK isbn match,
2909,2909,"Tinker, Tailor, Soldier, Spy",,1974,"/wiki/Tinker,_Tailor,_Soldier,_Spy",John le Carr̩,"Tinker, Tailor, Soldier, Spy","/wiki/Tinker,_Tailor,_Soldier,_Spy_(film)",2011,1490021,394492196,9.78E+12,,,FALSE,FALSE,OK isbn match,
2918,2918,To the Last Man,,1921,/wiki/To_the_Last_Man_(Zane_Grey),Zane Grey,To the Last Man,/wiki/To_the_Last_Man_(1933_film),1933,1492330,812564650,9.78E+12,,,FALSE,FALSE,OK isbn match,
2946,2946,Trainspotting,,1993,/wiki/Trainspotting_(novel),Irvine Welsh,Trainspotting,/wiki/Trainspotting_(film),1996,135839,749396067,9.78E+12,,,FALSE,FALSE,OK isbn match,
2978,2978,Trinity's Child,,1983,/wiki/Trinity%27s_Child,William Prochnau,By Dawn's Early Light,/wiki/By_Dawn%27s_Early_Light,1990,1076258,399127771,9.78E+12,,,FALSE,FALSE,OK isbn match,
3036,3036,The Twins,,2000,/wiki/The_Twins_(novel),Tessa de Loo,Twin Sisters,/wiki/Twin_Sisters_(2002_film),,2441119,190085032X,9.78E+12,,,FALSE,FALSE,OK isbn match,
3037,3037,The Twins,,2000,/wiki/The_Twins_(novel),Tessa de Loo,De tweeling,,2002,2441119,190085032X,9.78E+12,,,FALSE,FALSE,OK isbn match,
3062,3062,Union Street,,1982,/wiki/Union_Street_(novel),Pat Barker,Stanley & Iris,/wiki/Stanley_%26_Iris,1989,3150256,086068282X,9.78E+12,,,FALSE,FALSE,OK isbn match,
3067,3067,Valley of the Dolls,,1966,/wiki/Valley_of_the_Dolls,Jacqueline Susann,Valley of the Dolls,/wiki/Valley_of_the_Dolls_(film),1967,581811,802135196,9.78E+12,,,FALSE,FALSE,OK isbn match,
3068,3068,Vampire$,,1990,/wiki/Vampire$,John Steakley,Vampires,/wiki/Vampires_(film),1998,940998,451450337,9.78E+12,,,FALSE,FALSE,OK isbn match,
3069,3069,Vampire$,,1990,/wiki/Vampire$,John Steakley,Vampires: Los Muertos,/wiki/Vampires:_Los_Muertos,2002,940998,451450337,9.78E+12,,,FALSE,FALSE,OK isbn match,
3070,3070,Vampire$,,1990,/wiki/Vampire$,John Steakley,Vampires: The Turning,/wiki/Vampires:_The_Turning,2005,940998,451450337,9.78E+12,,,FALSE,FALSE,OK isbn match,
3085,3085,Vengeance,,1984,/wiki/Vengeance_(Jonas_book),George Jonas,Sword of Gideon,/wiki/Sword_of_Gideon,1986,1681436,671506110,9.78E+12,,,FALSE,FALSE,OK isbn match,
3086,3086,Vengeance,,1984,/wiki/Vengeance_(Jonas_book),George Jonas,Munich,/wiki/Munich_(film),2005,1681436,671506110,9.78E+12,,,FALSE,FALSE,OK isbn match,
3101,3101,Vigil in the Night,,1939,/wiki/Vigil_in_the_Night_(short_story),A. J. Cronin,Vigil in the Night,/wiki/Vigil_in_the_Night,1940,7425169,972743960,9.78E+12,,,FALSE,FALSE,OK isbn match,
3126,3126,Vision Quest,,1979,/wiki/Vision_Quest_(novel),Terry Davis,Vision Quest,/wiki/Vision_Quest,1985,450110,385732740,9.78E+12,,,FALSE,FALSE,OK isbn match,
3145,3145,A Walk to Remember,,1999,/wiki/A_Walk_to_Remember_(novel),Nicholas Sparks,A Walk to Remember,/wiki/A_Walk_to_Remember,2002,85421,446608955,9.78E+12,,,FALSE,FALSE,OK isbn match,
3147,3147,Walking Shadow,,1994,/wiki/Walking_Shadow,Robert B. Parker,Walking Shadow,/w/index.php?title=Spenser_(television_films)&action=edit&redlink=1,2001,69626,399139206,9.78E+12,,,FALSE,FALSE,OK isbn match,
3155,3155,War Horse,,1982,/wiki/War_Horse_(novel),Michael Morpurgo,War Horse,/wiki/War_Horse_(film),2011,8081449,439796644,9.78E+12,,,FALSE,FALSE,OK isbn match,
3156,3156,The War of the Roses,,1981,/wiki/The_War_of_the_Roses_(novel),Warren Adler,The War of the Roses,/wiki/The_War_of_the_Roses_(film),1989,4594418,446512206,9.78E+12,,,FALSE,FALSE,OK isbn match,
3166,3166,A Watcher in the Woods,,1976,/wiki/A_Watcher_in_the_Woods,Florence Engel Randall,The Watcher in the Woods,/wiki/The_Watcher_in_the_Woods,1980,3167863,689305117,9.78E+12,,,FALSE,FALSE,OK isbn match,
3167,3167,Water for Elephants,,2006,/wiki/Water_for_Elephants,Sara Gruen,Water for Elephants,/wiki/Water_for_Elephants_(film),2011,85609,1565124995,9.78E+12,,,FALSE,FALSE,OK isbn match,
3169,3169,Watership Down,,1972,/wiki/Watership_Down,Richard Adams,Watership Down,/wiki/Watership_Down_(film),1978,22599115,901720313,9.78E+12,,,FALSE,FALSE,OK isbn match,
3178,3178,What Dreams May Come,,1978,/wiki/What_Dreams_May_Come,Richard Matheson,What Dreams May Come,/wiki/What_Dreams_May_Come_(film),1998,6062175,039912148X,9.78E+12,,,FALSE,FALSE,OK isbn match,
3192,3192,Where the Red Fern Grows,,1961,/wiki/Where_the_Red_Fern_Grows,Wilson Rawls,Where the Red Fern Grows,/wiki/Where_the_Red_Fern_Grows_(1974_film),1974,1883224,044022814X,9.78E+12,,,FALSE,FALSE,OK isbn match,
3193,3193,Where the Wild Things Are,,1963,/wiki/Where_the_Wild_Things_Are,Maurice Sendak,Where the Wild Things Are,/wiki/Where_the_Wild_Things_Are_(film),2009,19542,60254920,9.78E+12,,,FALSE,FALSE,OK isbn match,
3197,3197,White Fang,,1906,/wiki/White_Fang,Jack London,White Fang,/wiki/White_Fang#Adaptations_-_Film_-_White_Fang_(1925_film),1925,5506983,1858137403,9.78E+12,,,FALSE,FALSE,OK isbn match,
